X,Y,Z,IN_frac,MK_frac,INC_frac
0,-24,23.274094,0,0,1
1.18,-24,23.274094,0,0,1
2.36,-24,23.274094,0,0,1
3.54,-24,23.274094,0,0,1
4.72,-24,23.274094,0,0,1
5.9,-24,23.274094,0,0,1
7.08,-24,23.274094,0,0,1
8.26,-24,23.274094,0,0,1
9.44,-24,23.274094,0,0,1
10.62,-24,23.274094,0,0,1
0,-22.82,23.274094,0.041937605,0,0.958062395
1.18,-22.82,23.274094,0.041937605,0,0.958062395
2.36,-22.82,23.274094,0.041937605,0,0.958062395
3.54,-22.82,23.274094,0.041937605,0,0.958062395
4.72,-22.82,23.274094,0.041937605,0,0.958062395
5.9,-22.82,23.274094,0.041937605,0,0.958062395
7.08,-22.82,23.274094,0.041937605,0,0.958062395
8.26,-22.82,23.274094,0.041937605,0,0.958062395
9.44,-22.82,23.274094,0.041937605,0,0.958062395
10.62,-22.82,23.274094,0.041937605,0,0.958062395
0,-21.64,23.274094,0.083875209,0,0.916124791
1.18,-21.64,23.274094,0.083875209,0,0.916124791
2.36,-21.64,23.274094,0.083875209,0,0.916124791
3.54,-21.64,23.274094,0.083875209,0,0.916124791
4.72,-21.64,23.274094,0.083875209,0,0.916124791
5.9,-21.64,23.274094,0.083875209,0,0.916124791
7.08,-21.64,23.274094,0.083875209,0,0.916124791
8.26,-21.64,23.274094,0.083875209,0,0.916124791
9.44,-21.64,23.274094,0.083875209,0,0.916124791
10.62,-21.64,23.274094,0.083875209,0,0.916124791
0,-20.46,23.274094,0.167750418,0,0.832249582
1.18,-20.46,23.274094,0.167750418,0,0.832249582
2.36,-20.46,23.274094,0.167750418,0,0.832249582
3.54,-20.46,23.274094,0.167750418,0,0.832249582
4.72,-20.46,23.274094,0.167750418,0,0.832249582
5.9,-20.46,23.274094,0.167750418,0,0.832249582
7.08,-20.46,23.274094,0.167750418,0,0.832249582
8.26,-20.46,23.274094,0.167750418,0,0.832249582
9.44,-20.46,23.274094,0.167750418,0,0.832249582
10.62,-20.46,23.274094,0.167750418,0,0.832249582
0,-19.28,23.274094,0.209688023,0,0.790311977
1.18,-19.28,23.274094,0.209688023,0,0.790311977
2.36,-19.28,23.274094,0.209688023,0,0.790311977
3.54,-19.28,23.274094,0.209688023,0,0.790311977
4.72,-19.28,23.274094,0.209688023,0,0.790311977
5.9,-19.28,23.274094,0.209688023,0,0.790311977
7.08,-19.28,23.274094,0.209688023,0,0.790311977
8.26,-19.28,23.274094,0.209688023,0,0.790311977
9.44,-19.28,23.274094,0.209688023,0,0.790311977
10.62,-19.28,23.274094,0.209688023,0,0.790311977
0,-18.1,23.274094,0.251625627,0,0.748374373
1.18,-18.1,23.274094,0.251625627,0,0.748374373
2.36,-18.1,23.274094,0.251625627,0,0.748374373
3.54,-18.1,23.274094,0.251625627,0,0.748374373
4.72,-18.1,23.274094,0.251625627,0,0.748374373
5.9,-18.1,23.274094,0.251625627,0,0.748374373
7.08,-18.1,23.274094,0.251625627,0,0.748374373
8.26,-18.1,23.274094,0.251625627,0,0.748374373
9.44,-18.1,23.274094,0.251625627,0,0.748374373
10.62,-18.1,23.274094,0.251625627,0,0.748374373
0,-16.92,23.274094,0.293563232,0,0.706436768
1.18,-16.92,23.274094,0.293563232,0,0.706436768
2.36,-16.92,23.274094,0.293563232,0,0.706436768
3.54,-16.92,23.274094,0.293563232,0,0.706436768
4.72,-16.92,23.274094,0.293563232,0,0.706436768
5.9,-16.92,23.274094,0.293563232,0,0.706436768
7.08,-16.92,23.274094,0.293563232,0,0.706436768
8.26,-16.92,23.274094,0.293563232,0,0.706436768
9.44,-16.92,23.274094,0.293563232,0,0.706436768
10.62,-16.92,23.274094,0.293563232,0,0.706436768
0,-15.74,23.274094,0.335500836,0,0.664499164
1.18,-15.74,23.274094,0.335500836,0,0.664499164
2.36,-15.74,23.274094,0.335500836,0,0.664499164
3.54,-15.74,23.274094,0.335500836,0,0.664499164
4.72,-15.74,23.274094,0.335500836,0,0.664499164
5.9,-15.74,23.274094,0.335500836,0,0.664499164
7.08,-15.74,23.274094,0.335500836,0,0.664499164
8.26,-15.74,23.274094,0.335500836,0,0.664499164
9.44,-15.74,23.274094,0.335500836,0,0.664499164
10.62,-15.74,23.274094,0.335500836,0,0.664499164
0,-14.56,23.274094,0.377438441,0,0.622561559
1.18,-14.56,23.274094,0.377438441,0,0.622561559
2.36,-14.56,23.274094,0.377438441,0,0.622561559
3.54,-14.56,23.274094,0.377438441,0,0.622561559
4.72,-14.56,23.274094,0.377438441,0,0.622561559
5.9,-14.56,23.274094,0.377438441,0,0.622561559
7.08,-14.56,23.274094,0.377438441,0,0.622561559
8.26,-14.56,23.274094,0.377438441,0,0.622561559
9.44,-14.56,23.274094,0.377438441,0,0.622561559
10.62,-14.56,23.274094,0.377438441,0,0.622561559
0,-13.38,23.274094,0.46131365,0,0.53868635
1.18,-13.38,23.274094,0.46131365,0,0.53868635
2.36,-13.38,23.274094,0.46131365,0,0.53868635
3.54,-13.38,23.274094,0.46131365,0,0.53868635
4.72,-13.38,23.274094,0.46131365,0,0.53868635
5.9,-13.38,23.274094,0.46131365,0,0.53868635
7.08,-13.38,23.274094,0.46131365,0,0.53868635
8.26,-13.38,23.274094,0.46131365,0,0.53868635
9.44,-13.38,23.274094,0.46131365,0,0.53868635
10.62,-13.38,23.274094,0.46131365,0,0.53868635
0,-12.2,23.274094,0.503251255,0,0.496748745
1.18,-12.2,23.274094,0.503251255,0,0.496748745
2.36,-12.2,23.274094,0.503251255,0,0.496748745
3.54,-12.2,23.274094,0.503251255,0,0.496748745
4.72,-12.2,23.274094,0.503251255,0,0.496748745
5.9,-12.2,23.274094,0.503251255,0,0.496748745
7.08,-12.2,23.274094,0.503251255,0,0.496748745
8.26,-12.2,23.274094,0.503251255,0,0.496748745
9.44,-12.2,23.274094,0.503251255,0,0.496748745
10.62,-12.2,23.274094,0.503251255,0,0.496748745
0,-11.02,23.274094,0.545188859,0,0.454811141
1.18,-11.02,23.274094,0.545188859,0,0.454811141
2.36,-11.02,23.274094,0.545188859,0,0.454811141
3.54,-11.02,23.274094,0.545188859,0,0.454811141
