X,Y,Z
0,-24,23.274094
1.18,-24,23.274094
2.36,-24,23.274094
3.54,-24,23.274094
4.72,-24,23.274094
5.9,-24,23.274094
7.08,-24,23.274094
8.26,-24,23.274094
9.44,-24,23.274094
10.62,-24,23.274094
0,-22.82,23.274094
1.18,-22.82,23.274094
2.36,-22.82,23.274094
3.54,-22.82,23.274094
4.72,-22.82,23.274094
5.9,-22.82,23.274094
7.08,-22.82,23.274094
8.26,-22.82,23.274094
9.44,-22.82,23.274094
10.62,-22.82,23.274094
0,-21.64,23.274094
1.18,-21.64,23.274094
2.36,-21.64,23.274094
3.54,-21.64,23.274094
4.72,-21.64,23.274094
5.9,-21.64,23.274094
7.08,-21.64,23.274094
8.26,-21.64,23.274094
9.44,-21.64,23.274094
10.62,-21.64,23.274094
0,-20.46,23.274094
1.18,-20.46,23.274094
2.36,-20.46,23.274094
3.54,-20.46,23.274094
4.72,-20.46,23.274094
5.9,-20.46,23.274094
7.08,-20.46,23.274094
8.26,-20.46,23.274094
9.44,-20.46,23.274094
10.62,-20.46,23.274094
0,-19.28,23.274094
1.18,-19.28,23.274094
2.36,-19.28,23.274094
3.54,-19.28,23.274094
4.72,-19.28,23.274094
5.9,-19.28,23.274094
7.08,-19.28,23.274094
8.26,-19.28,23.274094
9.44,-19.28,23.274094
10.62,-19.28,23.274094
0,-18.1,23.274094
1.18,-18.1,23.274094
2.36,-18.1,23.274094
3.54,-18.1,23.274094
4.72,-18.1,23.274094
5.9,-18.1,23.274094
7.08,-18.1,23.274094
8.26,-18.1,23.274094
9.44,-18.1,23.274094
10.62,-18.1,23.274094
0,-16.92,23.274094
1.18,-16.92,23.274094
2.36,-16.92,23.274094
3.54,-16.92,23.274094
4.72,-16.92,23.274094
5.9,-16.92,23.274094
7.08,-16.92,23.274094
8.26,-16.92,23.274094
9.44,-16.92,23.274094
10.62,-16.92,23.274094
0,-15.74,23.274094
1.18,-15.74,23.274094
2.36,-15.74,23.274094
3.54,-15.74,23.274094
4.72,-15.74,23.274094
5.9,-15.74,23.274094
7.08,-15.74,23.274094
8.26,-15.74,23.274094
